#%date=2021-08-26 08:08:50 UTC
# Drieletteringe codes talen. Totaal 487 ISO-codes, 100% zijn vertaald.
#%header0=Codebeschijving	Engels	Nederlands
Name for aar	Afar	Afar
Name for abk	Abkhazian	Abchazisch
Name for ace	Achinese	Achinees
Name for ach	Acoli	Acholi
Name for ada	Adangme	Adangme
Name for ady	Adyghe; Adygei	Adyghe, Circassisch
Name for afa	Afro-Asiatic languages	Afro-Aziatische talen
Name for afh	Afrihili	Afrihili
Name for afr	Afrikaans	Afrikaans
Name for ain	Ainu	Ainu
Name for aka	Akan	Akaans
Name for akk	Akkadian	Akkadiaans
Name for ale	Aleut	Aleut
Name for alg	Algonquian languages	Algonquiaanse talen
Name for alt	Southern Altai	Zuid-Altai
Name for amh	Amharic	Amhaars, Amharisch
Name for ang	English, Old (ca. 450-1100)	Oudengels (ca. 450-1100)
Name for anp	Angika	Angika
Name for apa	Apache languages	Apache-talen
Name for ara	Arabic	Arabisch
Name for arc	Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)	Officieel Aramees (700-300 v.Chr.); Keizerlijk Aramees (700-300 v.Chr.)
Name for arg	Aragonese	Aragonees
Name for arn	Mapudungun; Mapuche	Mapudungun; Mapuche
Name for arp	Arapaho	Arapaho
Name for art	Artificial languages	Kunstmatige talen
Name for arw	Arawak	Arawak
Name for asm	Assamese	Assamees, Assami
Name for ast	Asturian; Bable; Leonese; Asturleonese	Asturisch; Bable; Leonees; Astur-Leonees
Name for ath	Athapascan languages	Athabaskaanse talen
Name for aus	Australian languages	Australische talen
Name for ava	Avaric	Avaars, Awari
Name for ave	Avestan	Avestaans
Name for awa	Awadhi	Awadhi
Name for aym	Aymara	Aymara
Name for aze	Azerbaijani	Azerbeidzjaans
Name for bad	Banda languages	Banda-talen
Name for bai	Bamileke languages	Bamileek-talen
Name for bak	Bashkir	Basjkiers, Basjkirisch
Name for bal	Baluchi	Balutsji, Baluchi
Name for bam	Bambara	Bambara
Name for ban	Balinese	Balinees
Name for bas	Basa	Basa
Name for bat	Baltic languages	Baltische talen
Name for bej	Beja; Bedawiyet	Bejaans; Bedawiaans
Name for bel	Belarusian	Wit-Russisch, Belarussisch
Name for bem	Bemba	Bemba
Name for ben	Bengali	Bengaals
Common name for ben	Bangla	Bangaals
Name for ber	Berber languages	Berbertalen
Name for bho	Bhojpuri	Bhojpuri
Name for bih	Bihari languages	Bihari-talen
Name for bik	Bikol	Bikol
Name for bin	Bini; Edo	Bini; Edo
Name for bis	Bislama	Bislama
Name for bla	Siksika	Siksika
Name for bnt	Bantu (Other)	Bantu (Overige)
Name for bod	Tibetan	Tibetaans
Name for bos	Bosnian	Bosnisch
Name for bra	Braj	Braj
Name for bre	Breton	Bretons, Bretoens
Name for btk	Batak languages	Batak-talen
Name for bua	Buriat	Boeriaats
Name for bug	Buginese	Buginees
Name for bul	Bulgarian	Bulgaars
Name for byn	Blin; Bilin	Blin; Bilin
Name for cad	Caddo	Caddo
Name for cai	Central American Indian languages	Centraal-Amerikaanse Indiaanse talen
Name for car	Galibi Carib	Caribische talen
Name for cat	Catalan; Valencian	Catalaans; Valenciaans
Name for cau	Caucasian languages	Kaukasische talen
Name for ceb	Cebuano	Cebuano
Name for cel	Celtic languages	Keltische talen
Name for ces	Czech	Tsjechisch
Name for cha	Chamorro	Chamorro
Name for chb	Chibcha	Tsjibtsja
Name for che	Chechen	Tsjetsjeens
Name for chg	Chagatai	Chagatai
Name for chk	Chuukese	Chuukees
Name for chm	Mari	Mari
Name for chn	Chinook jargon	Chinook-jargon
Name for cho	Choctaw	Choctaw
Name for chp	Chipewyan; Dene Suline	Chipewyan; Dene Suline
Name for chr	Cherokee	Cherokee
Name for chu	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	Kerkslavisch; Oud-Slavisch; Oud-Bulgaars; Oud-Kerkslavisch
Name for chv	Chuvash	Tsjoevasjisch
Name for chy	Cheyenne	Cheyenne
Name for cmc	Chamic languages	Chamische talen
Name for cop	Coptic	Koptisch
Name for cor	Cornish	Cornish
Name for cos	Corsican	Corsicaans
Name for cpe	Creoles and pidgins, English based	Creools en pidgins, Op het Engels gebaseerd
Name for cpf	Creoles and pidgins, French-based	Creools en pidgins, Op het Frans gebaseerd
Name for cpp	Creoles and pidgins, Portuguese-based	Creools en pidgins, Op het Portugees gebaseerd
Name for cre	Cree	Cree
Name for crh	Crimean Tatar; Crimean Turkish	Krim Tataars; Krim Turks
Name for crp	Creoles and pidgins	Creools en Pidgin
Name for csb	Kashubian	Kasjoebiaans
Name for cus	Cushitic languages	Koesjitische talen
Name for cym	Welsh	Welsh
Name for dak	Dakota	Dakota
Name for dan	Danish	Deens
Name for dar	Dargwa	Dargwa
Name for day	Land Dayak languages	Dajak-talen
Name for del	Delaware	Delaware
Name for den	Slave (Athapascan)	Slavisch (Athapascaans)
Name for deu	German	Duits
Name for dgr	Dogrib	Dogrib
Name for din	Dinka	Dinka
Name for div	Divehi; Dhivehi; Maldivian	Divehi; Maldiviaans
Name for doi	Dogri	Dogri
Name for dra	Dravidian languages	Dravidische talen
Name for dsb	Lower Sorbian	Nedersorbisch
Name for dua	Duala	Duala
Name for dum	Dutch, Middle (ca. 1050-1350)	Middelnederlands (ca. 1050-1350)
Name for dyu	Dyula	Dyula
Name for dzo	Dzongkha	Dzongkha
Name for efi	Efik	Efikisch
Name for egy	Egyptian (Ancient)	Egyptisch (Oud)
Name for eka	Ekajuk	Ekajuk
Name for ell	Greek, Modern (1453-)	Grieks, Modern (1453-)
Name for elx	Elamite	Elamitisch
Name for eng	English	Engels
Name for enm	English, Middle (1100-1500)	Engels, Middel (1100-1500)
Name for epo	Esperanto	Esperanto
Name for est	Estonian	Estlands
Name for eus	Basque	Baskisch
Name for ewe	Ewe	Ewe
Name for ewo	Ewondo	Ewondo
Name for fan	Fang	Fang
Name for fao	Faroese	Faeröers
Name for fas	Persian	Perzisch
Name for fat	Fanti	Fanti
Name for fij	Fijian	Fijisch
Name for fil	Filipino; Pilipino	Filippino
Name for fin	Finnish	Fins
Name for fiu	Finno-Ugrian languages	Fins-Uralische talen
Name for fon	Fon	Fon
Name for fra	French	Frans
Name for frm	French, Middle (ca. 1400-1600)	Middelfrans (ca. 1400-1600)
Name for fro	French, Old (842-ca. 1400)	Oudfrans (842-ca. 1400)
Name for frr	Northern Frisian	Noord-Fries
Name for frs	Eastern Frisian	Oost-Fries
Name for fry	Western Frisian	Fries
Name for ful	Fulah	Fulah
Name for fur	Friulian	Friulisch
Name for gaa	Ga	Ga
Name for gay	Gayo	Gayo
Name for gba	Gbaya	Gbaya
Name for gem	Germanic languages	Germaanse talen
Name for gez	Geez	Geez
Name for gil	Gilbertese	Gilbertees
Name for gla	Gaelic; Scottish Gaelic	Gaelisch; Schots
Name for gle	Irish	Iers
Name for glg	Galician	Galiciaans
Name for glv	Manx	Manx
