Code	Engels	Nederlands
Adlm, Name for	Adlam	Adlam
Afak, Name for	Afaka	Afaka
Aghb, Name for	Caucasian Albanian	Kaukasisch Albanees
Ahom, Name for	Ahom, Tai Ahom	Ahom; Tai Ahom
Arab, Name for	Arabic	Arabisch
Aran, Name for	Arabic (Nastaliq variant)	Arabisch (Nastaliqvariant)
Armi, Name for	Imperial Aramaic	Rijksaramees
Armn, Name for	Armenian	Armeens
Avst, Name for	Avestan	Avestaans
Bali, Name for	Balinese	Balinees
Bamu, Name for	Bamum	Bamum
Bass, Name for	Bassa Vah	Bassa Vah
Batk, Name for	Batak	Batak
Beng, Name for	Bengali	Bengaals
Bhks, Name for	Bhaiksuki	Bhaiksuki
Blis, Name for	Blissymbols	Blissymbolen
Bopo, Name for	Bopomofo	Bopomofo
Brah, Name for	Brahmi	Brahmi
Brai, Name for	Braille	Braille
Bugi, Name for	Buginese	Buginees
Buhd, Name for	Buhid	Buhid
Cakm, Name for	Chakma	Chakma
Cans, Name for	Unified Canadian Aboriginal Syllabics	Verenigde Canadese Aboriginalsymbolen
Cari, Name for	Carian	Carisch
Cham, Name for	Cham	Cham
Cher, Name for	Cherokee	Cherokee
Cirt, Name for	Cirth	Cirth
Copt, Name for	Coptic	Koptisch
Cprt, Name for	Cypriot	Cyprisch
Cyrl, Name for	Cyrillic	Cyrillisch
Cyrs, Name for	Cyrillic (Old Church Slavonic variant)	Cyrillisch (Oudkerkslavische variant)
Deva, Name for	Devanagari (Nagari)	Devanagari; Nagari
Dsrt, Name for	Deseret (Mormon)	Deseret; Mormoons
Dupl, Name for	Duployan shorthand, Duployan stenography	Duployan stenografie
Egyd, Name for	Egyptian demotic	Egyptisch Demotisch
Egyh, Name for	Egyptian hieratic	Egyptisch hiëratisch
Egyp, Name for	Egyptian hieroglyphs	Egyptische hiërogliefen
Elba, Name for	Elbasan	Elbasan
Ethi, Name for	Ethiopic (Geʻez)	Ethiopisch; Ge'ez
Geok, Name for	Khutsuri (Asomtavruli and Nuskhuri)	Khutsuri (Asomtavruli en Nuskhuri)
Geor, Name for	Georgian (Mkhedruli)	Georgisch (Mkhedruli)
Glag, Name for	Glagolitic	Glagolitisch
Goth, Name for	Gothic	Gothisch
Gran, Name for	Grantha	Grantha
Grek, Name for	Greek	Grieks
Gujr, Name for	Gujarati	Gujarati
Guru, Name for	Gurmukhi	Gurmukhi
Hanb, Name for	Han with Bopomofo (alias for Han + Bopomofo)	Han met Bopomofo
Hang, Name for	Hangul (Hangŭl, Hangeul)	Hangul; Hangŭl; Hangeul
