Code	Type	Engels	Nederlands
AD-02, Name for	Parish	Canillo	Canillo
AD-03, Name for	Parish	Encamp	Encamp
AD-04, Name for	Parish	La Massana	La Massana
AD-05, Name for	Parish	Ordino	Ordino
AD-06, Name for	Parish	Sant Julià de Lòria	Sant Julià de Lòria
AD-07, Name for	Parish	Andorra la Vella	Andorra la Vella
AD-08, Name for	Parish	Escaldes-Engordany	Escaldes-Engordany
AE-AJ, Name for	Emirate	‘Ajmān	Ajman
AE-AZ, Name for	Emirate	Abū Z̧aby	Abu Dhabi
AE-DU, Name for	Emirate	Dubayy	Dubai
AE-FU, Name for	Emirate	Al Fujayrah	Fujairah
AE-RK, Name for	Emirate	Ra’s al Khaymah	Ras al-Khaimah
AE-SH, Name for	Emirate	Ash Shāriqah	Sharjah
AE-UQ, Name for	Emirate	Umm al Qaywayn	Umm al-Qawain
AF-BAL, Name for	Province	Balkh	Balkh
AF-BAM, Name for	Province	Bāmyān	Bamyan
AF-BDG, Name for	Province	Bādghīs	Badghis
AF-BDS, Name for	Province	Badakhshān	Badakhshan
AF-BGL, Name for	Province	Baghlān	Baghlan
AF-DAY, Name for	Province	Dāykundī	Daikondi
AF-FRA, Name for	Province	Farāh	Farah
AF-FYB, Name for	Province	Fāryāb	Faryab
AF-GHA, Name for	Province	Ghaznī	Ghazni
AF-GHO, Name for	Province	Ghōr	Ghowr
AF-HEL, Name for	Province	Helmand	Helmand
AF-HER, Name for	Province	Herāt	Herat
AF-JOW, Name for	Province	Jowzjān	Jowzjan
AF-KAB, Name for	Province	Kābul	Kabul
AF-KAN, Name for	Province	Kandahār	Kandahar
AF-KAP, Name for	Province	Kāpīsā	Kapisa
AF-KDZ, Name for	Province	Kunduz	Kunduz
AF-KHO, Name for	Province	Khōst	Khost
AF-KNR, Name for	Province	Kunaṟ	Kunar
AF-LAG, Name for	Province	Laghmān	Laghman
AF-LOG, Name for	Province	Lōgar	Logar
AF-NAN, Name for	Province	Nangarhār	Nangarhar
AF-NIM, Name for	Province	Nīmrōz	Nimroz
AF-NUR, Name for	Province	Nūristān	Nooristan
AF-PAN, Name for	Province	Panjshayr	Panjshir
AF-PAR, Name for	Province	Parwān	Parwan
AF-PIA, Name for	Province	Paktiyā	Paktia
AF-PKA, Name for	Province	Paktīkā	Paktika
AF-SAM, Name for	Province	Samangān	Samangan
AF-SAR, Name for	Province	Sar-e Pul	Sar-e Pol
AF-TAK, Name for	Province	Takhār	Takhār
AF-URU, Name for	Province	Uruzgān	Uruzgan
AF-WAR, Name for	Province	Wardak	Wardak
AF-ZAB, Name for	Province	Zābul	Zabul
AG-03, Name for	Parish	Saint George	Saint George
AG-04, Name for	Parish	Saint John	Saint John
AG-05, Name for	Parish	Saint Mary	Saint Mary
AG-06, Name for	Parish	Saint Paul	Saint Paul
AG-07, Name for	Parish	Saint Peter	Saint Peter
AG-08, Name for	Parish	Saint Philip	Saint Philip
AG-10, Name for	Dependency	Barbuda	Barbuda
AG-11, Name for	Dependency	Redonda	Redonda
AL-01, Name for	County	Berat	Berat
AL-02, Name for	County	Durrës	Durrsës
AL-03, Name for	County	Elbasan	Elbasan
AL-04, Name for	County	Fier	Fier
AL-05, Name for	County	Gjirokastër	Gjirokastër
AL-06, Name for	County	Korçë	Korçë
AL-07, Name for	County	Kukës	Kukës
AL-08, Name for	County	Lezhë	Lezhë
AL-09, Name for	County	Dibër	Dibër
AL-10, Name for	County	Shkodër	Shkodër
AL-11, Name for	County	Tiranë	Tirana
AL-12, Name for	County	Vlorë	Vlorë
AM-AG, Name for	Region	Aragac̣otn	Aragacotn
AM-AR, Name for	Region	Ararat	Ararat
AM-AV, Name for	Region	Armavir	Armavir
AM-ER, Name for	City	Erevan	Jerevan
AM-GR, Name for	Region	Geġark'unik'	Gegark'unik'
AM-KT, Name for	Region	Kotayk'	Kotayk'
AM-LO, Name for	Region	Loṙi	Lori
AM-SH, Name for	Region	Širak	Sirak
AM-SU, Name for	Region	Syunik'	Syunik'
AM-TV, Name for	Region	Tavuš	Tavus
AM-VD, Name for	Region	Vayoć Jor	Vayoc Jor
AO-BGO, Name for	Province	Bengo	Bengo
AO-BGU, Name for	Province	Benguela	Benguela
AO-BIE, Name for	Province	Bié	Bié
AO-CAB, Name for	Province	Cabinda	Cabinda
AO-CCU, Name for	Province	Cuando Cubango	Cuando-Cubango
AO-CNN, Name for	Province	Cunene	Cunene
AO-CNO, Name for	Province	Cuanza-Norte	Noord-Cuanza
AO-CUS, Name for	Province	Cuanza-Sul	Zuid-Cuanza
AO-HUA, Name for	Province	Huambo	Huambo
AO-HUI, Name for	Province	Huíla	Huíla
AO-LNO, Name for	Province	Lunda-Norte	Noord-Lunda
AO-LSU, Name for	Province	Lunda-Sul	Zuid-Lunda
AO-LUA, Name for	Province	Luanda	Luanda
AO-MAL, Name for	Province	Malange	Malange
AO-MOX, Name for	Province	Moxico	Moxico
AO-NAM, Name for	Province	Namibe	Namibe
AO-UIG, Name for	Province	Uíge	Uíge
AO-ZAI, Name for	Province	Zaire	Zaïre
AR-A, Name for	Province	Salta	Salta
AR-B, Name for	Province	Buenos Aires	Buenos Aires
AR-C, Name for	City	Ciudad Autónoma de Buenos Aires	Autonome Stad Buenos Aires
AR-D, Name for	Province	San Luis	San Luis
AR-E, Name for	Province	Entre Ríos	Entre Ríos
AR-F, Name for	Province	La Rioja	La Rioja
AR-G, Name for	Province	Santiago del Estero	Santiago del Estero
AR-H, Name for	Province	Chaco	Chaco
AR-J, Name for	Province	San Juan	San Juan
AR-K, Name for	Province	Catamarca	Catamarca
AR-L, Name for	Province	La Pampa	La Pampa
AR-M, Name for	Province	Mendoza	Mendoza
AR-N, Name for	Province	Misiones	Misiones
AR-P, Name for	Province	Formosa	Formosa
AR-Q, Name for	Province	Neuquén	Neuquén
AR-R, Name for	Province	Río Negro	Río Negro
AR-S, Name for	Province	Santa Fe	Santa Fe
AR-T, Name for	Province	Tucumán	Tucumán
AR-U, Name for	Province	Chubut	Chubut
AR-V, Name for	Province	Tierra del Fuego	Tierra del Fuego
AR-W, Name for	Province	Corrientes	Corrientes
AR-X, Name for	Province	Córdoba	Córdoba
AR-Y, Name for	Province	Jujuy	Jujuy
AR-Z, Name for	Province	Santa Cruz	Santa Cruz
AT-1, Name for	State	Burgenland	Burgenland
AT-2, Name for	State	Kärnten	Karinthië
AT-3, Name for	State	Niederösterreich	Neder-Oostenrijk
AT-4, Name for	State	Oberösterreich	Opper-Oostenrijk
AT-5, Name for	State	Salzburg	Salzburg
AT-6, Name for	State	Steiermark	Steiermark
AT-7, Name for	State	Tirol	Tirol
AT-8, Name for	State	Vorarlberg	Vorarlberg
AT-9, Name for	State	Wien	Wenen
AU-ACT, Name for	Territory	Australian Capital Territory	Australisch Hoofdstedelijk Territorium
AU-NSW, Name for	State	New South Wales	Nieuw-Zuid-Wales
AU-NT, Name for	Territory	Northern Territory	Noordelijk Territorium
AU-QLD, Name for	State	Queensland	Queensland
AU-SA, Name for	State	South Australia	Zuid-Australië
AU-TAS, Name for	State	Tasmania	Tasmanië
AU-VIC, Name for	State	Victoria	Victoria
AU-WA, Name for	State	Western Australia	West-Australië
AZ-ABS, Name for	Rayon	Abşeron	Abseron
AZ-AGA, Name for	Rayon	Ağstafa	Agstafa
AZ-AGC, Name for	Rayon	Ağcabədi	Agcabadi
AZ-AGM, Name for	Rayon	Ağdam	Agdam
AZ-AGS, Name for	Rayon	Ağdaş	Agdas
AZ-AGU, Name for	Rayon	Ağsu	Agsu
AZ-AST, Name for	Rayon	Astara	Astara
AZ-BA, Name for	Municipality	Bakı	Bakoe
AZ-BAB, Name for	Rayon	Babək	Babak
AZ-BAL, Name for	Rayon	Balakən	Balakan
AZ-BAR, Name for	Rayon	Bərdə	Barda
AZ-BEY, Name for	Rayon	Beyləqan	Beylaqan
AZ-BIL, Name for	Rayon	Biləsuvar	Bilasuvar
AZ-CAB, Name for	Rayon	Cəbrayıl	Cabrayil
AZ-CAL, Name for	Rayon	Cəlilabad	Cəlilabad
AZ-CUL, Name for	Rayon	Culfa	Culfa
AZ-DAS, Name for	Rayon	Daşkəsən	Daskasan
AZ-FUZ, Name for	Rayon	Füzuli	Fuzuli
AZ-GA, Name for	Municipality	Gəncə	Ganca
AZ-GAD, Name for	Rayon	Gədəbəy	Gadabay
AZ-GOR, Name for	Rayon	Goranboy	Goranboy
AZ-GOY, Name for	Rayon	Göyçay	Goycay
AZ-GYG, Name for	Rayon	Göygöl	Göygöl
AZ-HAC, Name for	Rayon	Hacıqabul	Haciqabul
AZ-IMI, Name for	Rayon	İmişli	Imisli
AZ-ISM, Name for	Rayon	İsmayıllı	Ismayilli
AZ-KAL, Name for	Rayon	Kəlbəcər	Kalbacar
AZ-KAN, Name for	Rayon	Kǝngǝrli	Kangarli
AZ-KUR, Name for	Rayon	Kürdəmir	Kurdamir
AZ-LA, Name for	Municipality	Lənkəran	Lankaran
AZ-LAC, Name for	Rayon	Laçın	Lacin
AZ-LAN, Name for	Rayon	Lənkəran	Lankaran
AZ-LER, Name for	Rayon	Lerik	Lerik
AZ-MAS, Name for	Rayon	Masallı	Masalli
AZ-MI, Name for	Municipality	Mingəçevir	Mingacevir
AZ-NA, Name for	Municipality	Naftalan	Naftalan
AZ-NEF, Name for	Rayon	Neftçala	Neftcala
AZ-NV, Name for	Municipality	Naxçıvan	Nachitsjevan
AZ-NX, Name for	Autonomous republic	Naxçıvan	Nachitsjevan
AZ-OGU, Name for	Rayon	Oğuz	Oguz
AZ-ORD, Name for	Rayon	Ordubad	Ordubad
AZ-QAB, Name for	Rayon	Qəbələ	Qabala
AZ-QAX, Name for	Rayon	Qax	Qax
AZ-QAZ, Name for	Rayon	Qazax	Qazax
AZ-QBA, Name for	Rayon	Quba	Quba
AZ-QBI, Name for	Rayon	Qubadlı	Qubadli
AZ-QOB, Name for	Rayon	Qobustan	Qobustan
AZ-QUS, Name for	Rayon	Qusar	Qusar
AZ-SA, Name for	Municipality	Şəki	Saki
AZ-SAB, Name for	Rayon	Sabirabad	Sabirabad
AZ-SAD, Name for	Rayon	Sədərək	Sadarak
AZ-SAH, Name for	Rayon	Şahbuz	Sahbuz
AZ-SAK, Name for	Rayon	Şəki	Saki
AZ-SAL, Name for	Rayon	Salyan	Salyan
AZ-SAR, Name for	Rayon	Şərur	Sarur
AZ-SAT, Name for	Rayon	Saatlı	Saatli
AZ-SBN, Name for	Rayon	Şabran	Şabran
AZ-SIY, Name for	Rayon	Siyəzən	Siyazan
AZ-SKR, Name for	Rayon	Şəmkir	Samkir
AZ-SM, Name for	Municipality	Sumqayıt	Sumqayit
AZ-SMI, Name for	Rayon	Şamaxı	Samaxi
AZ-SMX, Name for	Rayon	Samux	Samux
AZ-SR, Name for	Municipality	Şirvan	Şirvan
AZ-SUS, Name for	Rayon	Şuşa	Susa
AZ-TAR, Name for	Rayon	Tərtər	Tartar
AZ-TOV, Name for	Rayon	Tovuz	Tovuz
AZ-UCA, Name for	Rayon	Ucar	Ucar
AZ-XA, Name for	Municipality	Xankəndi	Xankandi
AZ-XAC, Name for	Rayon	Xaçmaz	Xacmaz
AZ-XCI, Name for	Rayon	Xocalı	Xocali
AZ-XIZ, Name for	Rayon	Xızı	Xizi
AZ-XVD, Name for	Rayon	Xocavənd	Xocavand
AZ-YAR, Name for	Rayon	Yardımlı	Yardimli
AZ-YE, Name for	Municipality	Yevlax	Yevlax
AZ-YEV, Name for	Rayon	Yevlax	Yevlax
AZ-ZAN, Name for	Rayon	Zəngilan	Zangilan
AZ-ZAQ, Name for	Rayon	Zaqatala	Zaqatala
AZ-ZAR, Name for	Rayon	Zərdab	Zardab
BA-BIH, Name for	Entity	Federacija Bosne i Hercegovine	Bosnië-Herzegovina, Federatie
