Codebeschijving	Engels	Nederlands
Name for AED	UAE Dirham	VAE-dirham
Name for AFN	Afghani	afghani
Name for ALL	Lek	lek
Name for AMD	Armenian Dram	Armeense dram
Name for ANG	Netherlands Antillean Guilder	Antilliaanse gulden
Name for AOA	Kwanza	Angolese kwanza
Name for ARS	Argentine Peso	Argentijnse peso
Name for AUD	Australian Dollar	Australische dollar
Name for AWG	Aruban Florin	Arubaanse gulden
Name for AZN	Azerbaijan Manat	Azerbeidzjaanse manat
Name for BAM	Convertible Mark	Converteerbare marken
Name for BBD	Barbados Dollar	Barbadiaanse dollar
Name for BDT	Taka	Bengalese taka
Name for BGN	Bulgarian Lev	Bulgaarse lev
Name for BHD	Bahraini Dinar	Bahreinse dinar
Name for BIF	Burundi Franc	Burundese frank
Name for BMD	Bermudian Dollar	Bermudaanse dollar
Name for BND	Brunei Dollar	Bruneise dollar
Name for BOB	Boliviano	Boliviaanse boliviano
Name for BOV	Mvdol	Boliviaanse mvdol
Name for BRL	Brazilian Real	Braziliaanse real
Name for BSD	Bahamian Dollar	Bahamaanse dollar
Name for BTN	Ngultrum	Bhutaanse ngultrum
Name for BWP	Pula	Botswaanse pula
Name for BYN	Belarusian Ruble	Wit-Russische roebel
Name for BZD	Belize Dollar	Belizaanse dollar
Name for CAD	Canadian Dollar	Canadese dollar
Name for CDF	Congolese Franc	Kongolese franc
Name for CHE	WIR Euro	WIR-euro
Name for CHF	Swiss Franc	Zwitserse frank
Name for CHW	WIR Franc	WIR-frank
Name for CLF	Unidad de Fomento	Chileense unidades de fomento
Name for CLP	Chilean Peso	Chileense peso
Name for CNY	Yuan Renminbi	Chinese renminbi yuan
Name for COP	Colombian Peso	Colombiaanse peso
Name for COU	Unidad de Valor Real	Colombiaanse unidad de valor real
Name for CRC	Costa Rican Colon	Costa Ricaanse colon
Name for CUC	Peso Convertible	Converteerbare peso
Name for CUP	Cuban Peso	Cubaanse peso
Name for CVE	Cabo Verde Escudo	Kaapverdische escudo
Name for CZK	Czech Koruna	Tsjechische kroon
Name for DJF	Djibouti Franc	Djiboutiaanse frank
Name for DKK	Danish Krone	Deense kroon
Name for DOP	Dominican Peso	Dominicaanse peso
Name for DZD	Algerian Dinar	Algerijnse dinar
Name for EGP	Egyptian Pound	Egyptisch pond
Name for ERN	Nakfa	Eritrese nakfa
Name for ETB	Ethiopian Birr	Ethiopische birr
Name for EUR	Euro	euro
Name for FJD	Fiji Dollar	Fiji-dollar
Name for FKP	Falkland Islands Pound	Falklandeilands pond
Name for GBP	Pound Sterling	pond sterling
Name for GEL	Lari	Georgische lari
Name for GHS	Ghana Cedi	Ghanese cedi
Name for GIP	Gibraltar Pound	Gibraltarees pond
Name for GMD	Dalasi	Gambiaanse dalasi
Name for GNF	Guinean Franc	Guineese frank
Name for GTQ	Quetzal	Guatemalaans quetzal
Name for GYD	Guyana Dollar	Guyaanse dollar
Name for HKD	Hong Kong Dollar	Hongkongse dollar
Name for HNL	Lempira	Hondurese lempira
Name for HRK	Kuna	kuna
Name for HTG	Gourde	Haïtiaanse gourde
Name for HUF	Forint	Hongaarse forint
Name for IDR	Rupiah	Indonesische roepia
Name for ILS	New Israeli Sheqel	nieuwe Israëlische shekel
Name for INR	Indian Rupee	Indiase roepie
Name for IQD	Iraqi Dinar	Iraakse dinar
Name for IRR	Iranian Rial	Iraanse rial
Name for ISK	Iceland Krona	IJslandse kroon
Name for JMD	Jamaican Dollar	Jamaicaanse dollar
Name for JOD	Jordanian Dinar	Jordaanse dinar
Name for JPY	Yen	Japanse yen
Name for KES	Kenyan Shilling	Keniaanse shilling
Name for KGS	Som	Kirgizische som
Name for KHR	Riel	Cambodjaanse riel
Name for KMF	Comorian Franc	Comorese frank
Name for KPW	North Korean Won	Noord-Koreaanse won
Name for KRW	Won	Zuid-Koreaanse won
Name for KWD	Kuwaiti Dinar	Koeweitse dinar
Name for KYD	Cayman Islands Dollar	Kaaimaneilandse dollar
Name for KZT	Tenge	Kazachse tenge
Name for LAK	Lao Kip	Laotiaanse kip
Name for LBP	Lebanese Pound	Libanees pond
Name for LKR	Sri Lanka Rupee	Srilankaanse roepie
Name for LRD	Liberian Dollar	Liberiaanse dollar
Name for LSL	Loti	Lesotho loti
Name for LYD	Libyan Dinar	Libische dinar
Name for MAD	Moroccan Dirham	Marokkaanse dirham
Name for MDL	Moldovan Leu	Moldavische leu
Name for MGA	Malagasy Ariary	Malagasische ariary
Name for MKD	Denar	Macedonische denar
Name for MMK	Kyat	kyat
Name for MNT	Tugrik	Mongoolse tugrik
Name for MOP	Pataca	Macause pataca
Name for MRU	Ouguiya	Mauritaanse quguiya
Name for MUR	Mauritius Rupee	Mauritiaanse roepie
Name for MVR	Rufiyaa	Maldivische rufiyaa
Name for MWK	Malawi Kwacha	Malawische kwacha
Name for MXN	Mexican Peso	Mexicaanse peso
Name for MXV	Mexican Unidad de Inversion (UDI)	Mexicaanse unidad de inversion (UDI)
Name for MYR	Malaysian Ringgit	Maleisische ringgit
Name for MZN	Mozambique Metical	Mozambiquaanse metical
Name for NAD	Namibia Dollar	Namibische dollar
Name for NGN	Naira	Nigeriaanse naire
Name for NIO	Cordoba Oro	Nicaraguaanse córdoba oro
Name for NOK	Norwegian Krone	Noorse kroon
Name for NPR	Nepalese Rupee	Nepalese roepie
Name for NZD	New Zealand Dollar	Nieuw-Zeelandse dollar
Name for OMR	Rial Omani	Omaanse rial
Name for PAB	Balboa	Panamaanse balboa
Name for PEN	Sol	sol
Name for PGK	Kina	Papua Nieuw Guineaanse kina
Name for PHP	Philippine Peso	Filipijnse peso
Name for PKR	Pakistan Rupee	Pakistaanse roepie
Name for PLN	Zloty	Poolse zloty
Name for PYG	Guarani	Paraguaanse guarani
Name for QAR	Qatari Rial	Qatarese rial
Name for RON	Romanian Leu	Roemeense leu
Name for RSD	Serbian Dinar	Servische dinar
Name for RUB	Russian Ruble	Russische roebel
Name for RWF	Rwanda Franc	Rwandese frank
Name for SAR	Saudi Riyal	Saudische riyal
Name for SBD	Solomon Islands Dollar	Salomon-dollar
Name for SCR	Seychelles Rupee	Seychelse roepie
Name for SDG	Sudanese Pound	Sudanese pond
Name for SEK	Swedish Krona	Zweedse kroon
Name for SGD	Singapore Dollar	Singaporese dollar
Name for SHP	Saint Helena Pound	Sint-Heleens pond
Name for SLE, Name for SLL	Leone	Sierraleoonse leone
Name for SOS	Somali Shilling	Somalische shilling
Name for SRD	Surinam Dollar	Surinamese dollar
Name for SSP	South Sudanese Pound	Zuid-Sudanese pond
Name for STN	Dobra	Sao Tomése dobra
Name for SVC	El Salvador Colon	Salvadoraanse colon
Name for SYP	Syrian Pound	Syrisch pond
Name for SZL	Lilangeni	Swazische lilangeni
Name for THB	Baht	Thaise baht
Name for TJS	Somoni	Tadzjiekse somoni
Name for TMT	Turkmenistan New Manat	Turkmeense manat
Name for TND	Tunisian Dinar	Tunesische dinar
Name for TOP	Pa’anga	Tongaanse pa'anga
Name for TRY	Turkish Lira	Turkse lire
Name for TTD	Trinidad and Tobago Dollar	Trinidad en Tobagodollar
Name for TWD	New Taiwan Dollar	nieuwe Taiwanese dollar
Name for TZS	Tanzanian Shilling	Tanzaniaanse shilling
Name for UAH	Hryvnia	Oekraïense grivna
Name for UGX	Uganda Shilling	Ugandese shilling
Name for USD	US Dollar	Amerikaanse dollar
Name for USN	US Dollar (Next day)	Amerikaanse dollar (volgende dag)
Name for UYI	Uruguay Peso en Unidades Indexadas (UI)	Uruguayaanse peso en unidades indexadas (UI)
Name for UYU	Peso Uruguayo	Uruguayaanse peso
Name for UYW	Unidad Previsional	Uruguayaanse unidad previsional
Name for UZS	Uzbekistan Sum	Oezbeekse som
Name for VED, Name for VES	Bolívar Soberano	Boliviaanse soberano
Name for VND	Dong	Vietnamese dong
Name for VUV	Vatu	Vanuatu vatu
Name for WST	Tala	Samoa tala
Name for XAF	CFA Franc BEAC	CFA-frank BEAC
Name for XAG	Silver	1 troy ounce zilver
Name for XAU	Gold	1 troy ounce goud
Name for XBA	Bond Markets Unit European Composite Unit (EURCO)	Aandelenmarkteenheid Europese samengestelde eenheid (EURCO)
Name for XBB	Bond Markets Unit European Monetary Unit (E.M.U.-6)	Aandelenmarkteenheid Europese monetaire eenheid (E.M.U.-6)
Name for XBC	Bond Markets Unit European Unit of Account 9 (E.U.A.-9)	Aandelenmarkteenheid Europese rekeningeneenheid 9 (E.U.A.-9)
