Code	Engels	Nederlands
aar, Name for	Afar	Afar
abk, Name for	Abkhazian	Abchazisch
ace, Name for	Achinese	Achinees
ach, Name for	Acoli	Acholi
ada, Name for	Adangme	Adangme
ady, Name for	Adyghe; Adygei	Adygees; West-Circassisch
afa, Name for	Afro-Asiatic languages	Afro-Aziatische talen
afh, Name for	Afrihili	Afrihili
afr, Name for	Afrikaans	Afrikaans
ain, Name for	Ainu	Ainu
aka, Name for	Akan	Akaans
akk, Name for	Akkadian	Akkadiaans
ale, Name for	Aleut	Aleut
alg, Name for	Algonquian languages	Algonquiaanse talen
alt, Name for	Southern Altai	Zuid-Altai
amh, Name for	Amharic	Amhaars
ang, Name for	English, Old (ca. 450-1100)	Oudengels (ca. 450-1100)
anp, Name for	Angika	Angika
apa, Name for	Apache languages	Apache-talen
ara, Name for	Arabic	Arabisch
arc, Name for	Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)	Officieel Aramees (700-300 v.Chr.); Keizerlijk Aramees (700-300 v.Chr.)
arg, Name for	Aragonese	Aragonees
arn, Name for	Mapudungun; Mapuche	Mapudungun; Mapuche
arp, Name for	Arapaho	Arapaho
art, Name for	Artificial languages	Kunstmatige talen
arw, Name for	Arawak	Arawak
asm, Name for	Assamese	Assamees
ast, Name for	Asturian; Bable; Leonese; Asturleonese	Asturisch; Bable; Leonees; Astur-Leonees
ath, Name for	Athapascan languages	Athabaskaanse talen
aus, Name for	Australian languages	Australische talen
ava, Name for	Avaric	Avaars
ave, Name for	Avestan	Avestaans
awa, Name for	Awadhi	Awadhi
aym, Name for	Aymara	Aymara
aze, Name for	Azerbaijani	Azerbeidzjaans
bad, Name for	Banda languages	Banda-talen
bai, Name for	Bamileke languages	Bamileek-talen
bak, Name for	Bashkir	Basjkiers
bal, Name for	Baluchi	Beloetsji
bam, Name for	Bambara	Bambara
ban, Name for	Balinese	Balinees
bas, Name for	Basa	Basa
bat, Name for	Baltic languages	Baltische talen
bej, Name for	Beja; Bedawiyet	Bedzja
bel, Name for	Belarusian	Wit-Russisch; Belarussisch
bem, Name for	Bemba	Bemba
ben, Common name for	Bangla	Bangaals
ben, Name for	Bengali	Bengaals
ber, Name for	Berber languages	Berbertalen
bho, Name for	Bhojpuri	Bhojpuri
bih, Name for	Bihari languages	Bihari-talen
bik, Name for	Bikol	Bikol
bin, Name for	Bini; Edo	Bini; Edo
bis, Name for	Bislama	Bislama
bla, Name for	Siksika	Siksika
bnt, Name for	Bantu (Other)	Bantu (overige)
bod, Name for	Tibetan	Tibetaans
bos, Name for	Bosnian	Bosnisch
bra, Name for	Braj	Braj
bre, Name for	Breton	Bretons
btk, Name for	Batak languages	Bataktalen
bua, Name for	Buriat	Boerjatisch
bug, Name for	Buginese	Buginees
bul, Name for	Bulgarian	Bulgaars
byn, Name for	Blin; Bilin	Blin; Bilin
cad, Name for	Caddo	Caddo
cai, Name for	Central American Indian languages	Centraal-Amerikaanse Indiaanse talen
car, Name for	Galibi Carib	Caribische talen
cat, Name for	Catalan; Valencian	Catalaans; Valenciaans
cau, Name for	Caucasian languages	Kaukasische talen
ceb, Name for	Cebuano	Cebuano
cel, Name for	Celtic languages	Keltische talen
ces, Name for	Czech	Tsjechisch
cha, Name for	Chamorro	Chamorro
chb, Name for	Chibcha	Tsjibtsja
che, Name for	Chechen	Tsjetsjeens
chg, Name for	Chagatai	Chagatai
chk, Name for	Chuukese	Chuukees
chm, Name for	Mari	Mari
chn, Name for	Chinook jargon	Chinook-jargon
cho, Name for	Choctaw	Choctaw
chp, Name for	Chipewyan; Dene Suline	Chipewyan; Dene Suline
chr, Name for	Cherokee	Cherokee
chu, Name for	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	Kerkslavisch; OudSlavisch; OudBulgaars; Oudkerkslavisch
chv, Name for	Chuvash	Tsjoevasjisch
chy, Name for	Cheyenne	Cheyenne
cmc, Name for	Chamic languages	Chamische talen
cnr, Name for	Montenegrin	Montenegrijns
cop, Name for	Coptic	Koptisch
cor, Name for	Cornish	Cornish
cos, Name for	Corsican	Corsicaans
cpe, Name for	Creoles and pidgins, English based	Creools en pidgins, op het Engels gebaseerd
cpf, Name for	Creoles and pidgins, French-based	Creools en pidgins, op het Frans gebaseerd
cpp, Name for	Creoles and pidgins, Portuguese-based	Creools en pidgins, op het Portugees gebaseerd
cre, Name for	Cree	Cree
crh, Name for	Crimean Tatar; Crimean Turkish	Krim Tataars; Krim Turks
crp, Name for	Creoles and pidgins	Creools en Pidgin
csb, Name for	Kashubian	Kasjoebiaans
cus, Name for	Cushitic languages	Koesjitische talen
cym, Name for	Welsh	Welsh
dak, Name for	Dakota	Dakota
dan, Name for	Danish	Deens
dar, Name for	Dargwa	Dargwa
day, Name for	Land Dayak languages	Dajak-talen
del, Name for	Delaware	Delaware
den, Name for	Slave (Athapascan)	Slavisch (Athapascaans)
deu, Name for	German	Duits
dgr, Name for	Dogrib	Dogrib
din, Name for	Dinka	Dinka
div, Name for	Divehi; Dhivehi; Maldivian	Divehi; Maldiviaans
doi, Name for	Dogri	Dogri
dra, Name for	Dravidian languages	Dravidische talen
dsb, Name for	Lower Sorbian	Nedersorbisch
dua, Name for	Duala	Duala
dum, Name for	Dutch, Middle (ca. 1050-1350)	Nederlands, Middel (ca. 1050-1350)
dyu, Name for	Dyula	Dyula
dzo, Name for	Dzongkha	Dzongkha
efi, Name for	Efik	Efikisch
egy, Name for	Egyptian (Ancient)	Egyptisch (Oud)
eka, Name for	Ekajuk	Ekajuk
ell, Name for	Greek, Modern (1453-)	Grieks, Modern (1453-)
elx, Name for	Elamite	Elamitisch
eng, Name for	English	Engels
enm, Name for	English, Middle (1100-1500)	Engels, Middel (1100-1500)
epo, Name for	Esperanto	Esperanto
est, Name for	Estonian	Estlands
eus, Name for	Basque	Baskisch
ewe, Name for	Ewe	Ewe
ewo, Name for	Ewondo	Ewondo
fan, Name for	Fang	Fang
fao, Name for	Faroese	Faeröers
fas, Name for	Persian	Perzisch
fat, Name for	Fanti	Fanti
fij, Name for	Fijian	Fijisch
fil, Name for	Filipino; Pilipino	Filippino
fin, Name for	Finnish	Fins
fiu, Name for	Finno-Ugrian languages	Fins-Uralische talen
fon, Name for	Fon	Fon
fra, Name for	French	Frans
frm, Name for	French, Middle (ca. 1400-1600)	Frans, Middel (ca. 1400-1600)
fro, Name for	French, Old (842-ca. 1400)	Frans, Oud (842-ca. 1400)
frr, Name for	Northern Frisian	Noord-Fries
frs, Name for	Eastern Frisian	Oost-Fries
fry, Name for	Western Frisian	Fries
ful, Name for	Fulah	Fulah
fur, Name for	Friulian	Friulisch
gaa, Name for	Ga	Ga
gay, Name for	Gayo	Gayo
gba, Name for	Gbaya	Gbaya
gem, Name for	Germanic languages	Germaanse talen
gez, Name for	Geez	Geez
gil, Name for	Gilbertese	Gilbertees
gla, Name for	Gaelic; Scottish Gaelic	Gaelisch; Schots
gle, Name for	Irish	Iers
glg, Name for	Galician	Galiciaans
glv, Name for	Manx	Manx
gmh, Name for	German, Middle High (ca. 1050-1500)	Duits, Middelhoog (ca. 1050-1500)
goh, Name for	German, Old High (ca. 750-1050)	Duits, Oudhoog (ca. 750-1050)
gon, Name for	Gondi	Gondi
gor, Name for	Gorontalo	Gorontalo
got, Name for	Gothic	Gothisch
grb, Name for	Grebo	Grebo
grc, Name for	Greek, Ancient (to 1453)	Grieks, Oud (tot 1453)
grn, Name for	Guarani	Paraguaanse guarani
