Code	Engels	Nederlands
aav, Name for	Austro-Asiatic languages	Austroaziatische talen
afa, Name for	Afro-Asiatic languages	Afro-Aziatische talen
alg, Name for	Algonquian languages	Algonquiaanse talen
alv, Name for	Atlantic-Congo languages	Atlantisch-Congolese talen
apa, Name for	Apache languages	Apache-talen
aqa, Name for	Alacalufan languages	Alacalufan talen
aql, Name for	Algic languages	Algic talen
art, Name for	Artificial languages	Kunstmatige talen
ath, Name for	Athapascan languages	Athabaskaanse talen
auf, Name for	Arauan languages	Arauan talen
aus, Name for	Australian languages	Australische talen
awd, Name for	Arawakan languages	Arawakan talen
azc, Name for	Uto-Aztecan languages	Uto-Azteekse talen
bad, Name for	Banda languages	Banda-talen
bai, Name for	Bamileke languages	Bamileek-talen
bat, Name for	Baltic languages	Baltische talen
ber, Name for	Berber languages	Berbertalen
bih, Name for	Bihari languages	Bihari-talen
bnt, Name for	Bantu languages	Bantu talen
btk, Name for	Batak languages	Bataktalen
cai, Name for	Central American Indian languages	Centraal-Amerikaanse Indiaanse talen
cau, Name for	Caucasian languages	Kaukasische talen
cba, Name for	Chibchan languages	Chibchan talen
ccn, Name for	North Caucasian languages	Noord-Kaukasische talen
ccs, Name for	South Caucasian languages	Zuid-Kaukasische talen
cdc, Name for	Chadic languages	Chadic talen
cdd, Name for	Caddoan languages	Caddoan talen
cel, Name for	Celtic languages	Keltische talen
cmc, Name for	Chamic languages	Chamische talen
cpe, Name for	Creoles and pidgins, English‑based	Creools en pidgins, op het Engels gebaseerd
cpf, Name for	Creoles and pidgins, French‑based	Creools en pidgins, op het Frans gebaseerd
cpp, Name for	Creoles and pidgins, Portuguese-based	Creools en pidgins, op het Portugees gebaseerd
crp, Name for	Creoles and pidgins	Creools en pidgins
csu, Name for	Central Sudanic languages	Centraal Sudanese talen
cus, Name for	Cushitic languages	Koesjitische talen
day, Name for	Land Dayak languages	Dajak-talen
dmn, Name for	Mande languages	Mande talen
dra, Name for	Dravidian languages	Dravidische talen
egx, Name for	Egyptian languages	Egyptische talen
esx, Name for	Eskimo-Aleut languages	Eskimo-Aleoetische talen
euq, Name for	Basque (family)	Baskisch (familie)
fiu, Name for	Finno-Ugrian languages	Fins-Uralische talen
fox, Name for	Formosan languages	Formosaanse talen
gem, Name for	Germanic languages	Germaanse talen
gme, Name for	East Germanic languages	Oost-Germaanse talen
gmq, Name for	North Germanic languages	Noord-Germaanse talen
gmw, Name for	West Germanic languages	West-Germaanse talen
grk, Name for	Greek languages	Griekse talen
hmx, Name for	Hmong-Mien languages	Hmong-Mien talen
hok, Name for	Hokan languages	Hokan talen
hyx, Name for	Armenian (family)	Armeens (familie)
iir, Name for	Indo-Iranian languages	Indo-Iraanse talen
ijo, Name for	Ijo languages	Ijo-talen
inc, Name for	Indic languages	Noord-Indische talen
ine, Name for	Indo-European languages	Indo-Europese talen
ira, Name for	Iranian languages	Iraanse talen
iro, Name for	Iroquoian languages	Iroquoiaanse talen
itc, Name for	Italic languages	Italiaanse talen
jpx, Name for	Japanese (family)	Japans (familie)
kar, Name for	Karen languages	Karen-talen
kdo, Name for	Kordofanian languages	Kordofaniaanse talen
khi, Name for	Khoisan languages	Khoisantalen
kro, Name for	Kru languages	Kru-talen
map, Name for	Austronesian languages	Austronesische talen
mkh, Name for	Mon-Khmer languages	Mon-Khmer talen
mno, Name for	Manobo languages	Manobo-talen
mun, Name for	Munda languages	Munda-talen
myn, Name for	Mayan languages	Maja-talen
nah, Name for	Nahuatl languages	Nahuatl-talen
nai, Name for	North American Indian languages	Noord-Amerikaanse Indiaanse talen
ngf, Name for	Trans-New Guinea languages	Trans-Nieuw Guinea talen
nic, Name for	Niger-Kordofanian languages	Niger-Kordofaniaanse talen
nub, Name for	Nubian languages	Nubische talen
omq, Name for	Oto-Manguean languages	Oto-Manguean talen
omv, Name for	Omotic languages	Omotic talen
oto, Name for	Otomian languages	Otomiaanse talen
paa, Name for	Papuan languages	Papoeatalen
phi, Name for	Philippine languages	Filipijnse talen
plf, Name for	Central Malayo-Polynesian languages	Centraal Malayo-Polynesische talen
poz, Name for	Malayo-Polynesian languages	Malayo-Polynesische talen
pqe, Name for	Eastern Malayo-Polynesian languages	Oost-Malayo-Polynesische talen
pqw, Name for	Western Malayo-Polynesian languages	West-Malayo-Polynesische talen
pra, Name for	Prakrit languages	Prakrit-talen
qwe, Name for	Quechuan (family)	Quechuan (familie)
roa, Name for	Romance languages	Romaanse talen
sai, Name for	South American Indian languages	Zuid-Amerikaanse Indiaanse talen
sal, Name for	Salishan languages	Salisjische talen
sdv, Name for	Eastern Sudanic languages	Oost-Sudanese talen
sem, Name for	Semitic languages	Semitische talen
sgn, Name for	sign languages	gebarentalen
sio, Name for	Siouan languages	Siouaanse talen
sit, Name for	Sino-Tibetan languages	Sino-Tibetaanse talen
sla, Name for	Slavic languages	Slavische talen
smi, Name for	Sami languages	Sami talen
son, Name for	Songhai languages	Songhai-talen
sqj, Name for	Albanian languages	Albanese talen
ssa, Name for	Nilo-Saharan languages	Nilo-Sahara talen
syd, Name for	Samoyedic languages	Samoyedische talen
tai, Name for	Tai languages	Thaise talen
tbq, Name for	Tibeto-Burman languages	Tibettaanse-Burmese talen
trk, Name for	Turkic languages	Turksche talen
tup, Name for	Tupi languages	Tupi-talen
tut, Name for	Altaic languages	Altaïsche talen
tuw, Name for	Tungus languages	Tungus talen
urj, Name for	Uralic languages	Uralic talen
wak, Name for	Wakashan languages	Wakasjaanse talen
wen, Name for	Sorbian languages	Sorbiaanse talen
xgn, Name for	Mongolian languages	Mongoolse talen
xnd, Name for	Na-Dene languages	Na-Dene talen
ypk, Name for	Yupik languages	Joepikse talen
zhx, Name for	Chinese (family)	Chinees (familie)
zle, Name for	East Slavic languages	Oost-Slavische talen
zls, Name for	South Slavic languages	Zuid-Slavische talen
zlw, Name for	West Slavic languages	West-Slavische talen
znd, Name for	Zande languages	Zande-talen
